Duplicate minus misc_RNA/missing library data	gene deletion	plate	location	Growth Parameters		Plate Row	Plate Column	Plate I.D.
BKK06360	guaA	BKK009	C3			A	1	1
BKK06440	purB	BKK009	H3			A	2	1
BKK03040	amyE	BKK006	A8			A	3	1
BKK06500	purM	BKK009	E4			A	4	1
BKK17890	tkt	BKK035	H4			A	5	1
BKK40420	purA	BKK038	B6			A	6	1
BKK06530	purD	BKK009	H4			A	7	1
BKK06480	purL	BKK038	G12			A	8	1
BKK06450	purC	BKK009	A4			B	1	1
BKK03040	amyE	BKK006	A8			B	2	1
BKK15540	pyrD	BKK026	H12			B	3	1
BKK15780	cpgA	BKK028	H12			B	4	1
BKK06460	purS	BKK009	B4			B	5	1
BKK06320	yeaB	BKK033	C11			B	6	1
BKK06490	purF	BKK009	D4			B	7	1
BKK06510	purN	BKK009	F4			B	8	1
BKK06420	purE	BKK009	F3			C	1	1
BKK24520	mntR	BKK036	G7			C	2	1
BKK38170	qoxA	BKK031	D9			C	3	1
BKK22370	aspB	BKK020	A5			C	4	1
BKK40560	yybP	BKK041	D12	No Growth at 37C, Growth at 20C		C	5	1
BKK14580	pdhA	BKK015	A5			C	6	1
BKK20410	yorE	BKK035	E11			C	7	1
BKK06470	purQ	BKK009	C4			C	8	1
BKK15500	pyrC	BKK026	G5			D	1	1
BKK06073	ydzW	BKK038	B12			D	2	1
BKK15560	pyrE	BKK027	D3			D	3	1
BKK15470	pyrR	BKK025	H12			D	4	1
BKK17460	glnA	BKK016	D8			D	5	1
BKK11520	mecA	BKK012	C12			D	6	1
BKK28450	sdhC	BKK024	D11			D	7	1
BKK15550	pyrF	BKK027	C3			D	8	1
BKK39030	yxiT	BKK032	E4			E	1	1
BKK28440	sdhA	BKK024	C11			E	2	1
BKK15530	pyrK	BKK026	H7			E	3	1
BKK36810	atpD	BKK030	F10			E	4	1
BKK24290	xseB	BKK021	D10			E	5	1
BKK31410	yugG	BKK027	G1			E	6	1
BKK40529	yyzH	BKK041	B12	No Growth at 37C, Growth at 20C		E	7	1
BKK21240	yomS	BKK019	E6			E	8	1
BKK15490	pyrB	BKK026	F6			F	1	1
BKK00050	yaaB	BKK009	H5			F	2	1
BKK15520	pyrAB	BKK026	F7			F	3	1
BKK24110	yqzF	BKK036	B7			F	4	1
BKK25400	yqeY	BKK022	F7			F	5	1
BKK36910	ywlG	BKK030	C11			F	6	1
BKK22900	ypfB	BKK020	F10			F	7	1
BKK29750	aroA	BKK025	D11			F	8	1
BKK09740	yheF	BKK011	B8			G	1	1
BKK27850	nadA	BKK024	F5			G	2	1
BKK27860	nadC	BKK040	C10			G	3	1
BKK13680	motB	BKK039	H7			G	4	1
BKK27870	nadB	BKK024	G5			G	5	1
BKK10720	gerPA	BKK012	G4			G	6	1
BKK26950	yraG	BKK023	H8			G	7	1
BKK34770	yvcJ	BKK029	D6			G	8	1
BKK15510	pyrAA	BKK026	E7			H	1	1
BKK15420	divIVA	BKK003	G3			H	2	1
BKK03200	ycgM	BKK006	B9			H	3	1
BKK00600	yabP	BKK038	F7			H	4	1
BKK03620	yclA	BKK007	C1	No Growth at 37C, Growth at 20C		H	5	1
BKK35310	yvyD (hpf)	BKK029	F11			H	6	1
BKK17430	ynbA (hflX)	BKK016	B8			H	7	1
BKK03040	amyE	BKK006	A8			H	8	1
