"BKK_tag","gene","row","column","code","library"
"BKK06360","guaA","A",1,"11111",1
"BKK17890","tkt","A",1,"11111",2
"BKK06440","purB","A",2,"10111",1
"BKK40420","purA","A",2,"10111",2
"BKK03040","amyE","A",3,"01111",1
"BKK06530","purD","A",3,"01111",2
"BKK06500","purM","A",4,"00111",1
"BKK06480","purL","A",4,"00111",2
"BKK06450","purC","B",1,"11110",1
"BKK06460","purS","B",1,"11110",2
"BKK03040","amyE","B",2,"10110",1
"BKK06320","yeaB","B",2,"10110",2
"BKK15540","pyrD","B",3,"01110",1
"BKK06490","purF","B",3,"01110",2
"BKK15780","cpgA","B",4,"00110",1
"BKK06510","purN","B",4,"00110",2
"BKK06420","purE","C",1,"11101",1
"BKK40560","yybP","C",1,"11101",2
"BKK24520","mntR","C",2,"10101",1
"BKK14580","pdhA","C",2,"10101",2
"BKK38170","qoxA","C",3,"01101",1
"BKK20410","yorE","C",3,"01101",2
"BKK22370","aspB","C",4,"00101",1
"BKK06470","purQ","C",4,"00101",2
"BKK15500","pyrC","D",1,"11100",1
"BKK17460","glnA","D",1,"11100",2
"BKK06073","ydzW","D",2,"10100",1
"BKK11520","mecA","D",2,"10100",2
"BKK15560","pyrE","D",3,"01100",1
"BKK28450","sdhC","D",3,"01100",2
"BKK15470","pyrR","D",4,"00100",1
"BKK15550","pyrF","D",4,"00100",2
"BKK39030","yxiT","E",1,"11011",1
"BKK24290","xseB","E",1,"11011",2
"BKK28440","sdhA","E",2,"10011",1
"BKK31410","yugG","E",2,"10011",2
"BKK15530","pyrK","E",3,"01011",1
"BKK40529","yyzH","E",3,"01011",2
"BKK36810","atpD","E",4,"00011",1
"BKK21240","yomS","E",4,"00011",2
"BKK15490","pyrB","F",1,"11010",1
"BKK25400","yqeY","F",1,"11010",2
"BKK00050","yaaB","F",2,"10010",1
"BKK36910","ywlG","F",2,"10010",2
"BKK15520","pyrAB","F",3,"01010",1
"BKK22900","ypfB","F",3,"01010",2
"BKK24110","yqzF","F",4,"00010",1
"BKK29750","aroA","F",4,"00010",2
"BKK09740","yheF","G",1,"11001",1
"BKK27870","nadB","G",1,"11001",2
"BKK27850","nadA","G",2,"10001",1
"BKK10720","gerPA","G",2,"10001",2
"BKK27860","nadC","G",3,"01001",1
"BKK26950","yraG","G",3,"01001",2
"BKK13680","motB","G",4,"00001",1
"BKK34770","yvcJ","G",4,"00001",2
"BKK15510","pyrAA","H",1,"11000",1
"BKK03620","yclA","H",1,"11000",2
"BKK15420","divIVA","H",2,"10000",1
"BKK35310","yvyD (hpf)","H",2,"10000",2
"BKK03200","ycgM","H",3,"01000",1
"BKK17430","ynbA (hflX)","H",3,"01000",2
"BKK00600","yabP","H",4,"00000",1
"BKK03040","amyE","H",4,"00000",2
